size_m2,bedrooms,distance_center,building_age,monthly_rent,premium_area
38,4,17.71,6,1606.4,0
98,5,1.26,12,7072.03,1
63,5,5.93,31,4085.55,1
127,4,9.85,32,7251.89,1
94,4,23.28,16,4385.85,0
72,1,13.67,24,2256.8,0
103,3,6.04,20,5837.43,1
61,4,2.41,2,4713.65,1
104,4,2.75,22,6729.41,1
84,4,17.99,34,3357.85,0
48,3,4.25,10,3015.74,0
136,1,22.11,2,6144.46,1
80,4,12.31,25,4348.31,1
113,4,6.09,9,7458.77,1
99,3,16.83,27,4541.62,1
129,2,21.53,16,5115.74,0
142,3,21.62,38,6631.8,1
80,3,24.55,27,2653.35,0
29,3,17.73,1,1200.0,0
40,5,11.73,9,2563.75,1
82,4,3.5,24,5593.07,1
98,1,15.88,7,4596.14,0
140,3,5.76,9,8690.0,1
73,4,13.87,20,3958.99,1
44,2,6.83,37,1976.66,0
45,1,19.87,37,1200.0,0
131,5,10.64,18,8005.72,1
115,1,21.5,12,4565.1,0
117,4,16.66,33,5642.92,1
50,2,4.69,11,2763.32,0
90,1,3.62,21,4660.76,1
141,4,1.59,35,8969.76,1
62,1,14.73,29,1841.12,0
31,4,9.85,16,1935.04,0
81,3,8.66,32,4335.27,0
71,1,18.02,4,2842.51,0
125,1,8.16,19,6691.56,1
57,3,5.65,3,3802.95,0
58,2,19.53,37,1395.68,0
65,2,4.62,32,3676.68,0
46,4,20.57,37,1374.88,0
90,5,20.83,25,4365.34,1
45,4,20.13,4,1817.13,0
128,2,24.59,33,4738.3,0
75,4,1.57,3,5705.23,1
52,2,12.76,10,1995.89,0
149,5,10.72,38,8732.85,1
86,5,20.49,29,3635.38,0
138,3,9.77,15,7913.37,1
92,4,19.5,17,4345.56,1
142,1,21.48,6,6357.16,1
130,4,20.59,28,6418.93,1
65,5,8.41,38,3743.7,1
103,1,3.89,27,5544.76,1
149,4,10.97,18,8900.67,1
136,1,17.94,32,6058.94,0
125,2,1.12,18,7427.55,1
32,4,13.77,21,1200.0,0
96,3,23.4,14,3909.22,0
53,5,21.87,5,2273.14,0
69,4,16.8,0,3510.87,1
71,1,1.85,3,4269.69,0
146,1,17.46,36,6676.68,0
142,1,7.57,32,7586.14,1
77,3,24.37,33,1983.79,0
149,5,21.68,37,7090.96,1
74,1,21.44,7,2443.16,0
83,1,17.89,27,2552.55,0
104,3,16.82,4,5146.01,1
92,1,20.31,4,3532.61,0
60,4,2.39,1,4982.14,1
41,3,19.71,14,1200.0,0
93,4,20.5,15,4393.38,1
118,1,12.8,13,5738.09,1
69,5,1.81,7,5546.28,1
70,5,0.48,10,5706.29,1
135,1,24.61,14,5350.3,0
30,2,5.82,19,1236.06,0
67,5,7.32,23,4404.11,1
141,3,16.74,28,7264.35,1
78,2,14.4,28,3425.78,0
135,5,10.24,14,8392.86,1
107,1,7.67,19,5066.22,1
52,2,8.41,8,2720.05,0
35,2,24.15,20,1200.0,0
77,4,8.34,34,4513.59,1
143,3,16.93,20,7429.94,1
54,5,24.29,24,1484.08,0
33,5,15.29,21,1328.99,0
139,5,21.07,3,7805.43,1
110,4,8.76,23,6438.93,1
108,4,10.59,22,6058.95,1
129,2,0.52,30,7306.59,1
111,2,0.53,28,6692.98,1
147,5,20.4,26,7442.31,1
53,2,18.12,37,1200.0,0
54,5,13.99,27,3030.89,0
120,5,12.97,39,6824.46,1
126,4,1.0,16,8661.13,1
109,1,6.77,4,6243.74,1
28,2,11.85,35,1200.0,0
72,1,5.92,37,3022.12,0
132,4,3.11,22,8394.86,1
104,3,5.39,25,5864.68,1
39,5,18.0,1,1877.16,0
127,5,15.72,4,7768.34,1
38,5,2.57,33,2856.1,0
62,5,7.65,21,4399.29,1
68,1,23.43,21,1425.88,0
39,4,23.97,7,1200.0,0
103,2,3.26,24,6608.5,1
133,5,19.29,30,6901.17,1
44,5,12.28,4,2887.65,1
53,3,10.58,24,2411.36,0
76,3,23.61,13,2497.32,0
58,5,2.28,12,4781.09,1
39,3,20.86,15,1200.0,0
116,5,2.33,19,7613.24,1
141,1,6.11,37,7243.23,1
29,2,15.8,16,1200.0,0
86,3,20.57,17,3229.25,0
98,1,16.14,9,4487.2,0
77,1,23.33,5,2526.12,0
89,3,15.76,14,4648.77,0
140,3,5.55,31,8272.85,1
86,4,4.73,12,5902.89,1
111,5,6.89,21,7281.13,1
98,4,14.69,25,4886.76,1
47,3,21.78,27,1200.0,0
132,5,9.83,4,8779.09,1
126,5,3.47,17,9058.1,1
55,4,3.02,25,3938.18,1
99,2,7.25,29,5159.18,1
74,1,4.0,39,3396.87,0
116,1,15.29,36,4788.37,0
41,3,12.34,29,1200.0,0
